,symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,nearWKH,nearWKL,chartTodayPath,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,companyName,industry,activeSeries,debtSeries,isFNOSec,isCASec,isSLBSec,isDebtSec,isSuspended,tempSuspendedSeries,isETFSec,isDelisted,isin,isMunicipalBond,quotepreopenstatus,20DMA,CMP-20DMA,CMP-20DMA_%,3m_change%
40,MOLOWVOL,Nifty Midcap 100 TRI,39.32,39.32,38.28,39.09,0.23,0.59,164052,6412792.68,38.9064,39.95,27,11-AUG-22,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER UNIT TO RS 2/- PER UNIT,37.302423603793486,3.4400635088647906,38.86,2.1526908635794726,-44.77777777777779,https://nsearchives.nseindia.com/today/MOLOWVOLEQN.svg,37.17,28-Jul-2023,https://nsearchives.nseindia.com/365d/MOLOWVOL-EQ.svg,28-Jun-2024,3.05,https://nsearchives.nseindia.com/30d/MOLOWVOL-EQ.svg,Motilal Oswal Mutual Fund - Motilal Oswal S&P BSE Low Volatility ETF,,['EQ'],[],False,False,True,False,False,[],True,False,INF247L01BL0,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",38.367000000000004,0.722999999999999,1.8495778971603962,10.174746335963942
98,NEXT50IETF,Nifty Next 50,79.35,79.35,76.72,77.26,0.21,0.27,223391,17268124.3,77.1337,79.35,43.75,15-NOV-18, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RS 1/- PER SHARE,Infinity,3.3716885202033855,77.05,2.6339004410837923,-76.59428571428572,https://nsearchives.nseindia.com/today/NEXT50IETFEQN.svg,-,-,-,28-Jun-2024,3.55,https://nsearchives.nseindia.com/30d/NEXT50IETF-EQ.svg,ICICI Prudential Mutual Fund - ICICI Prudential Nifty Next 50 ETF,,['EQ'],[],False,False,True,False,False,[],True,False,INF109KC1NS5,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",75.8265,1.4335000000000093,1.855423246181736,14.69714964370547
67,NIFTYIETF,Nifty 50,278.5,278.5,274.41,275.69,1.14,0.42,138854,38323704,274.8695,282.9,224.95,-,-,Infinity,3.4057237162897054,274.55,2.5486037469070273,-22.556123583018454,https://nsearchives.nseindia.com/today/NIFTYIETFEQN.svg,-,-,-,28-Jun-2024,3.21,https://nsearchives.nseindia.com/30d/NIFTYIETF-EQ.svg,ICICI Prudential Nifty 50 ETF,,['EQ'],[],False,False,True,False,False,[],True,False,INF109K012R6,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",270.452,5.2379999999999995,1.8999601001124449,10.847975553857903
59,NIFTY50ADD,Nifty 50 Index,257,257,255.11,256.59,1.19,0.47,3625,929087.5,255.5919,263.68,192.76,-,-,Infinity,3.5137969985476762,255.4,2.688865291262148,-33.11371653870097,https://nsearchives.nseindia.com/today/NIFTY50ADDEQN.svg,-,-,-,28-Jun-2024,3.26,https://nsearchives.nseindia.com/30d/NIFTY50ADD-EQ.svg,DSP  Mutual Fund - DSP Nifty 50 ETF,,['EQ'],[],False,False,True,False,False,[],True,False,INF740KA1CL0,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",251.6835,4.906499999999966,1.9121945516193017,10.728002416605527
79,BSLNIFTY,Nifty 50,28.65,28.65,28.21,28.54,0.1,0.35,255523,7287515.96,28.4272,30.01,20,25-NOV-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1/- PER SHARE,27.752909579230074,3.2935215345638804,28.44,4.898367210929697,-42.699999999999996,https://nsearchives.nseindia.com/today/BSLNIFTYEQN.svg,27.82,28-Jul-2023,https://nsearchives.nseindia.com/365d/BSLNIFTY-EQ.svg,28-Jun-2024,3.49,https://nsearchives.nseindia.com/30d/BSLNIFTY-EQ.svg,Aditya Birla Sun Life Nifty 50 ETF,MUTUAL FUND,['EQ'],[],False,False,True,False,False,[],True,False,INF209KB19D1,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",27.994,0.5459999999999994,1.9131044148563396,10.964230171073096
100,HDFCNIF100,HDFC NIFTY 100 ETF,26.36,27.7,26.29,26.43,0.07,0.27,145320,3853886.4,26.3415,27.7,18.91,20-OCT-23,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 177.27/- PER SHARE TO RS 17.727/- PER SHARE,-86.71592279855247,3.3229085222830395,26.36,4.584837545126352,-39.76731887890005,https://nsearchives.nseindia.com/today/HDFCNIF100EQN.svg,-86.66,28-Jul-2023,https://nsearchives.nseindia.com/365d/HDFCNIF100-EQ.svg,28-Jun-2024,3.9,https://nsearchives.nseindia.com/30d/HDFCNIF100-EQ.svg,HDFC Mutual Fund - HDFC NIFTY 100 ETF,,['EQ'],[],False,False,True,False,False,[],True,False,INF179KC1HR4,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",25.921999999999997,0.5080000000000027,1.9220582671207063,11.09709962168979
64,NIFTY1,Nifty 50,270.98,270.98,269,270.54,1.21,0.45,17013,4597933.38,269.1256,285,202.89,27-JUL-17, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RS 1/- PER SHARE,Infinity,3.326585952717426,269.33,5.0736842105263085,-33.34319089161617,https://nsearchives.nseindia.com/today/NIFTY1EQN.svg,-,-,-,28-Jun-2024,3.13,https://nsearchives.nseindia.com/30d/NIFTY1-EQ.svg,Kotak Nifty 50 ETF,,['EQ'],[],False,False,True,False,False,[],True,False,INF174K014P6,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",265.30699999999996,5.233000000000061,1.93427958897023,10.374933703235284
97,NIFTYBETF,Bajaj Finserv Nifty 50 ETF,249.9,250.97,249.54,250.65,0.68,0.27,276,69168.36,249.7634,257.14,215.04,-,-,Infinity,3.6514763046894436,249.97,2.5239169324103528,-16.55970982142858,https://nsearchives.nseindia.com/today/NIFTYBETFEQN.svg,-,-,-,28-Jun-2024,3.61,https://nsearchives.nseindia.com/30d/NIFTYBETF-EQ.svg,Bajaj Finserv Mutual Fund - Bajaj Finserv Nifty 50 ETF,,['EQ'],[],False,False,False,False,False,[],True,False,INF0QA701722,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",245.7855,4.8644999999999925,1.9407540394973042,10.681798110041507
101,NIFTYBEES,Nifty 50,268.4,277.96,268.4,277.43,0.75,0.27,1919882,532114495.12,276.3377,278.2,207.15,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,27.507123816527248,3.402907193440177,276.68,0.2767792954708777,-33.92710596186338,https://nsearchives.nseindia.com/today/NIFTYBEESEQN.svg,27.89,28-Jul-2023,https://nsearchives.nseindia.com/365d/NIFTYBEES-EQ.svg,28-Jun-2024,3.44,https://nsearchives.nseindia.com/30d/NIFTYBEES-EQ.svg,Nippon India ETF Nifty 50 BeES,MUTUAL FUND,['EQ'],[],False,False,True,False,False,[],True,False,INF204KB14I2,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",272.0365,5.393500000000017,1.9440940056951364,10.945373110453493
95,SETFNIF50,Nifty 50,262.1,263.44,260.58,262.3,0.74,0.28,1012475,265592442,261.2256,264.82,196.9,24-MAR-21, DIVIDEND - RS 1.30 PER SHARE,27.627481510315295,3.1986465751268933,261.56,0.9515897590816336,-33.21482986287456,https://nsearchives.nseindia.com/today/SETFNIF50EQN.svg,27.83,28-Jul-2023,https://nsearchives.nseindia.com/365d/SETFNIF50-EQ.svg,28-Jun-2024,3.41,https://nsearchives.nseindia.com/30d/SETFNIF50-EQ.svg,SBI-ETF Nifty 50,MUTUAL FUND,['EQ'],[],False,False,True,False,False,[],True,False,INF200KA1FS1,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",257.1955,5.10450000000003,1.9460541364849524,10.984175340610987
