,symbol,token,opening,closing,prevClose,returns90,returns
66,"2730    BBETF0432-EQ
Name: TradingSymbol, dtype: object",7196,1134.13,1158.5,1159.51,2.148783649140741,-0.08710576019180438
67,"2741    BANKIETF-EQ
Name: TradingSymbol, dtype: object",11037,47.56,53.4,53.16,12.279226240538259,0.4514672686230286
68,"2742    BANKETFADD-EQ
Name: TradingSymbol, dtype: object",13644,47.81,53.2,53.16,11.273792093704245,0.07524454477051591
69,"2743    BANKETF-EQ
Name: TradingSymbol, dtype: object",17419,471.56,527.25,527.74,11.80973789125456,-0.09284875127904064
70,"2744    BANKBETF-EQ
Name: TradingSymbol, dtype: object",21986,47.14,52.73,52.78,11.858294442087391,-0.09473285335355108
71,"2780    AXISTECETF-EQ
Name: TradingSymbol, dtype: object",3010,365.0,411.98,411.28,12.871232876712334,0.1702003501264456
72,"2783    AXISHCETF-EQ
Name: TradingSymbol, dtype: object",3608,119.0,133.12,134.01,11.865546218487399,-0.6641295425714397
73,"2785    AXISCETF-EQ
Name: TradingSymbol, dtype: object",5732,102.3,119.2,116.06,16.52003910068427,2.705497156643116
74,"2787    AXISBPSETF-EQ
Name: TradingSymbol, dtype: object",3530,11.68,11.92,11.87,2.054794520547947,0.4212299915754062
75,"2788    AXISBNKETF-EQ
Name: TradingSymbol, dtype: object",1044,478.01,535.72,534.83,12.072969184745096,0.16640801750088557
76,"2803    AUTOIETF-EQ
Name: TradingSymbol, dtype: object",7844,21.92,25.97,25.9,18.47627737226276,0.2702702702702714
77,"2916    ALPL30IETF-EQ
Name: TradingSymbol, dtype: object",22344,264.45,29.92,29.89,-88.68595197579882,0.10036801605888637
78,"2918    ALPHAETF-EQ
Name: TradingSymbol, dtype: object",19640,23.76,28.84,28.9,21.380471380471374,-0.20761245674740042
79,"3018    ABSLBANETF-EQ
Name: TradingSymbol, dtype: object",13987,47.8,53.7,53.26,12.343096234309636,0.8261359369132648
